Chromosome,position (HG38),locus ID,superpopulation,allele (# repeats),literature,
chr2	,1489653-1489684,TPOX,EUR,"5:0.0014, 6:0.0014, 8:0.5249, 9:0.1274, 10: 0.0499, 11:0.2521, 12: 0.0416, 13:0.0014",STR datebase,
chr2	,1489653-1489684,TPOX,AFR,"6:0.0894, 7:0.0176, 8:0.368, 9:0.195, 10:0.0865, 11:0.2155, 12:0.0264, 13:0.0015",,
chr2	,1489653-1489684,TPOX,EAS,"8:0.5464, 9:0.0825, 10:0.0309, 11:0.2938, 12:0.0464",,
chr2	,1489653-1489684,TPOX,SAS,"7:0.003, 8:0.352, 9:0.145, 10:0.095, 11:0.375, 12:0.027, 13:0.003",https://springerplus.springeropen.com/articles/10.1186/s40064-015-1364-1/tables/3,
chr2	,1489653-1489684,TPOX,AMR,"6:0.0085, 7:0.0064, 8:0.4852, 9:0.0932, 10:0.0487, 11:0.2542, 12:0.1038",,
chr5	,123775556-123775599,D5S818,EUR,"7:0.0028, 8:0.0055, 9:0.0416, 10:0.0554, 11:0.3560, 12:0.3878, 13:0.1427, 14:0.0069, 15:0.0014",,
chr5	,123775556-123775599,D5S818,AFR,"7:0.0029, 8:0.0468, 9:0.0322, 10:0.0731, 11:0.2339, 12:0.3684, 13:0.2237, 14:0.0161, 15:0.0029",,
chr5	,123775556-123775599,D5S818,EAS,"7:0.0155, 8:0.0052, 9:0.0979, 10:0.2268, 11:0.2732, 12:0.2062, 13:0.1598, 14:0.0155",,
chr5	,123775556-123775599,D5S818,SAS,"8:0.001, 9:0.023, 10:0.124, 11:0.337, 12:0.314, 12.2:0.005, 13:0.186, 14:0.011",https://springerplus.springeropen.com/articles/10.1186/s40064-015-1364-1,
chr5	,123775556-123775599,D5S818,AMR,"7:0.0339, 8:0.0085, 9:0.0530, 10:0.0572, 11:0.3898, 12:0.3390, 13:0.1081, 14:0.0085, 15:0.0021",,
chr5	,150076324-150076375,CSF1PO,EUR,"8:0.0055, 9:0.0139, 10:0.2202, 11:0.3089, 12:0.3601, 13:0.0817, 14:0.0097",,
chr5	,150076324-150076375,CSF1PO,AFR,"7:0.0556, 8:0.0556, 9:0.0395, 10:0.2500, 11:0.2485, 12:0.2953, 13:0.0468, 14:0.0088",,
chr5	,150076324-150076375,CSF1PO,EAS,"7:0.0206, 9:0.0670, 10:0.2010, 11:0.2165, 12:0.3866, 13:0.0876, 14: 0.0155, 15:0.0052",,
chr5	,150076324-150076375,CSF1PO,SAS,"7:0.003, 8:0.005, 9:0.030, 10:0.193, 11:0.294, 11.2:0.002, 12:0.381, 13:0.079, 14:0.013, 15:0.001",https://springerplus.springeropen.com/articles/10.1186/s40064-015-1364-1/tables/3,
